해당기관,보도건수,오프라인_지면,온라인,매체수,최근기사일,계열,순위,표시
지자연,116,35,81,23,2026-04-26 09:02:00,기초·기반계,6,
기초연,62,19,43,15,2026-04-24 11:14:00,기초·기반계,12,
생명연,119,37,82,19,2026-04-23 18:00:00,바이오·식품계,4,
독성연,31,4,27,11,2026-04-29 16:22:00,바이오·식품계,17,
김치연,31,3,28,11,2026-04-21 11:28:00,바이오·식품계,17,
한의학연,31,9,22,13,2026-04-14 15:30:00,바이오·식품계,17,
식품연,29,5,24,12,2026-04-28 10:48:00,바이오·식품계,21,
기계연,109,31,78,19,2026-04-22 17:23:00,산업기술계,7,
표준연,109,25,84,16,2026-04-28 18:58:00,산업기술계,7,
화학연,105,34,71,21,2026-04-29 01:46:00,산업기술계,9,
재료연,89,14,75,16,2026-04-29 17:00:00,산업기술계,10,
생기연,47,11,36,16,2026-04-15 18:00:00,산업기술계,14,★ KITECH
원자력연,132,33,99,20,2026-04-28 11:31:00,에너지·원자력계,3,
KERI,118,30,88,18,2026-04-27 14:23:00,에너지·원자력계,5,
에너지연,35,9,26,15,2026-04-20 17:21:00,에너지·원자력계,16,
핵융합연,31,6,25,12,2026-03-31 12:01:00,에너지·원자력계,17,
철도연,59,6,53,9,2026-04-27 16:50:00,인프라·건설계,13,
건설연,45,9,36,14,2026-04-17 18:45:00,인프라·건설계,15,
ETRI,270,97,173,24,2026-04-29 17:50:00,정보통신계,1,
KIST,177,53,124,19,2026-04-29 18:00:00,정보통신계,2,
KISTI,70,30,40,13,2026-04-23 16:00:00,정보통신계,11,
녹색연,8,4,4,6,2026-02-05 17:30:00,환경계,22,
