주차,생기연,기계연,재료연,화학연,표준연,ETRI,KIST,KISTI,생명연,한의학연,식품연,김치연,독성연,원자력연,에너지연,핵융합연,KERI,기초연,지자연,천문연,철도연,건설연,녹색연
2025-W01,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-W01,0,2,0,0,0,0,9,0,0,0,0,0,0,1,1,3,0,0,0,0,3,0,0
2026-W02,0,7,11,0,6,12,8,0,7,0,0,0,0,0,0,0,15,1,0,0,5,0,0
2026-W03,1,0,5,8,7,4,0,4,0,0,2,0,3,3,0,0,5,0,8,0,3,0,0
2026-W04,4,11,0,8,9,8,10,3,8,0,10,3,0,5,0,0,3,3,1,0,6,7,1
2026-W05,0,5,0,4,13,17,8,4,7,2,0,2,0,12,0,0,12,8,5,0,2,1,0
2026-W06,3,3,11,6,0,14,18,2,0,0,0,1,0,0,8,0,5,0,0,0,1,0,4
2026-W07,4,1,0,4,8,9,10,2,9,0,0,0,0,8,5,0,6,5,10,0,3,5,0
2026-W08,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2026-W09,0,6,12,3,5,13,0,5,10,4,0,0,1,0,0,6,5,6,4,0,4,0,0
2026-W10,7,0,4,16,5,11,2,1,5,4,2,2,4,12,0,5,0,0,0,0,1,0,0
2026-W11,0,6,0,8,0,16,10,0,11,0,0,8,0,11,2,0,0,1,0,0,4,0,0
2026-W12,6,6,9,0,0,19,7,11,5,0,0,4,0,17,0,0,0,3,5,0,1,0,0
2026-W13,0,5,2,1,1,14,0,0,4,4,4,1,1,7,0,7,0,0,7,0,5,5,0
2026-W14,3,0,0,5,8,7,4,0,7,0,0,0,2,8,5,4,8,0,4,0,1,0,0
2026-W15,0,10,3,0,0,9,14,5,4,5,2,2,3,7,0,0,11,6,11,0,6,12,0
2026-W16,8,5,10,0,7,9,12,0,0,3,1,2,4,0,0,0,9,1,9,0,4,6,0
2026-W17,0,3,4,0,7,6,5,2,3,0,0,3,4,7,5,0,5,7,17,0,2,0,0
2026-W18,0,0,4,8,7,4,5,0,0,0,3,0,5,2,0,0,4,0,0,0,2,0,0
